Feature,Importance,Feature,Importance,Feature,Importance,Feature,Importance,Feature,Importance,Feature,Importance,Feature,Importance
SigmoidOfAreas,0.023568205592429788,Sum_of_Luminosity,0.017914791083804532,Sum_of_Luminosity,0.009385387222986928,Maximum_of_Luminosity,0.012697881432362937,Y_Minimum,0.022635637879462454,Steel_Plate_Thickness,0.025024061957969055,Pixels_Areas,0.024253085079741
X_Maximum^2,0.023315340668383498,Y_Minimum*Y_Maximum,0.017623950667401817,Edges_Index,0.009195715814115627,X_Minimum^2,0.012106448587415993,Y_Maximum^2,0.022546529228516098,X_Maximum^2,0.024309632013413074,Y_Minimum,0.023522824185029254
Y_Maximum^2,0.02320477421534668,Luminosity_Area_Product,0.01729547600247164,Orientation_Index,0.009094937383305454,Orientation_Index,0.012011325039836741,Log_X_Index,0.02230021859140579,Outside_X_Index,0.02418499408417156,Sum_of_Luminosity,0.023508499187900843
Pixels_Areas,0.022642434227572963,X_Perimeter,0.017293948984398545,X_Y_Ratio,0.009025306473194857,X_Maximum,0.011979895605229792,X_Range,0.02221630425504726,Log_Sum_of_Luminosity,0.023561343499566786,Outside_X_Index,0.023413891736934197
LogOfAreas,0.022492183522002385,Y_Maximum^2,0.01715626580720802,Edges_X_Index,0.00866852093550314,X_Maximum^2,0.011857733559627628,SigmoidOfAreas,0.022203777171328164,X_Range,0.02350709746259391,X_Minimum,0.02339957509555378
Y_Perimeter,0.022223502804584246,LogOfAreas,0.017125340401481354,Maximum_of_Luminosity,0.007899600910146173,X_Minimum,0.011811445256696057,Log_Pixels_Areas,0.02209573810221892,Y_Range,0.023201442375710434,Y_Maximum,0.023399350920745684
Y_Minimum^2,0.02198959682309284,Log_Sum_of_Luminosity,0.017097321599811487,Y_Range,0.007003181405577308,Y_Minimum^2,0.011016801416551427,Outside_X_Index,0.0218839990414467,Y_Minimum*Y_Maximum,0.02118963888308569,X_Minimum^2,0.023356402460291633
Y_Minimum,0.021906387938077247,Edges_Y_Index,0.016987412950291495,Y_Minimum^2,0.006969506434010273,Y_Maximum^2,0.010938008401603291,Pixels_Areas,0.021559179778557223,Y_Minimum,0.021030921014897182,Y_Minimum^2,0.022952316404421635
Log_Pixels_Areas,0.02176710936461838,Y_Minimum^2,0.01680515955105801,Y_Maximum,0.0069000819360452315,Y_Minimum*Y_Maximum,0.010753291020791108,X_Perimeter,0.021546774914057445,Maximum_of_Luminosity,0.020886008238776635,Y_Minimum*Y_Maximum,0.022943129832743502
X_Perimeter,0.021761695831868304,Y_Minimum,0.016460538470456115,Y_Maximum^2,0.006768117772267667,Square_Index,0.010196044130781196,Y_Minimum*Y_Maximum,0.021206393266952756,Y_Maximum,0.020750026200085817,Y_Maximum^2,0.02266993930113448
Y_Maximum,0.021647231829958178,Log_X_Index,0.016339764798661147,Y_Minimum,0.006710917075358869,Y_Maximum,0.010167002231070274,Y_Minimum^2,0.02117072409847398,Y_Minimum^2,0.020665004887874996,Log_Y_Index,0.022512723670241125
Y_Minimum*Y_Maximum,0.021146342209017382,Log_Y_Index,0.016257986923912643,Length_of_Conveyer,0.006480793138055494,X_Range,0.010012369841684396,Y_Perimeter,0.021066760087853565,Y_Maximum^2,0.02040932087716818,Y_Perimeter,0.022111853904108525
Maximum_of_Luminosity,0.020096384439112953,SigmoidOfAreas,0.015806181109717064,Y_Minimum*Y_Maximum,0.006389713199909179,Y_Minimum,0.009596211019799586,Maximum_of_Luminosity,0.017498515808476237,Log_X_Index,0.019241038499327165,Maximum_of_Luminosity,0.0218475237054786
Steel_Plate_Thickness,0.0162396338416403,Pixels_Areas,0.015076314902971953,TypeOfSteel_A300_True,0.0056161377178718256,TypeOfSteel_A400_True,0.008860824245894449,Edges_Y_Index,0.015680773366708176,Edges_Y_Index,0.015232700489026611,Edges_Y_Index,0.021103101211862332
Outside_Global_Index,0.01280410039624665,Y_Perimeter,0.014918974188383692,Perimeter_Area_Ratio,0.005467718462919142,TypeOfSteel_A300_True,0.008301684402818072,TypeOfSteel_A400_True,0.00611035583578787,TypeOfSteel_A300_True,0.011521203029107616,TypeOfSteel_A300_True,0.0033706920393237077
TypeOfSteel_A400_True,0.005007632242923551,Log_Pixels_Areas,0.014820468846562095,TypeOfSteel_A400_True,0.002909009226295994,Edges_Y_Index,0.0059083110335898725,TypeOfSteel_A300_True,0.005919381075121314,TypeOfSteel_A400_True,0.00831418781339473,Outside_Global_Index,0.003351460372530633
TypeOfSteel_A300_True,0.0045635533617610115,Outside_Global_Index,0.002526652330648998,Outside_Global_Index,0.0008544916178327745,Outside_Global_Index,0.0026685294588829215,Outside_Global_Index,0.002943723029978586,Outside_Global_Index,0.0034607547287867717,TypeOfSteel_A400_True,0.0031213272659168173
